LAMMPS (24 Mar 2022)
Reading data file ...
  orthogonal box = (0 0 0) to (17.90955 17.90955 17.90955)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  365 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.450959
  ghost atom cutoff = 6.450959
  binsize = 3.2254795, bins = 6 6 6
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair adp, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.776 | 6.776 | 6.776 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
       165   86.242707     -1173.9746      0             -1169.9168     -78853.109    
       166   86.105879     -1173.9681      0             -1169.9168     -79256.842    
       167   85.961175     -1173.9613      0             -1169.9168     -79657.906    
       168   85.808132     -1173.9541      0             -1169.9168     -80056.193    
       169   85.646259     -1173.9465      0             -1169.9168     -80451.613    
       170   85.475036     -1173.9384      0             -1169.9168     -80844.058    
       171   85.293925     -1173.9299      0             -1169.9168     -81233.434    
       172   85.102364     -1173.9209      0             -1169.9168     -81619.631    
       173   84.899778     -1173.9114      0             -1169.9168     -82002.554    
       174   84.685576     -1173.9013      0             -1169.9168     -82382.101    
       175   84.459159     -1173.8907      0             -1169.9168     -82758.17     
       176   84.219919     -1173.8794      0             -1169.9168     -83130.668    
       177   83.967245     -1173.8675      0             -1169.9168     -83499.502    
       178   83.700524     -1173.855       0             -1169.9168     -83864.582    
       179   83.419148     -1173.8417      0             -1169.9168     -84225.819    
       180   83.122512     -1173.8278      0             -1169.9168     -84583.13     
       181   82.810021     -1173.8131      0             -1169.9168     -84936.436    
       182   82.48109      -1173.7976      0             -1169.9168     -85285.66     
       183   82.13515      -1173.7813      0             -1169.9168     -85630.727    
       184   81.77165      -1173.7642      0             -1169.9168     -85971.571    
       185   81.390058     -1173.7463      0             -1169.9168     -86308.123    
       186   80.989863     -1173.7274      0             -1169.9168     -86640.33     
       187   80.570583     -1173.7077      0             -1169.9168     -86968.131    
       188   80.131762     -1173.6871      0             -1169.9168     -87291.481    
       189   79.672975     -1173.6655      0             -1169.9168     -87610.335    
       190   79.193828     -1173.6429      0             -1169.9168     -87924.661    
       191   78.693965     -1173.6194      0             -1169.9168     -88234.413    
       192   78.173065     -1173.5949      0             -1169.9168     -88539.561    
       193   77.630848     -1173.5694      0             -1169.9168     -88840.075    
       194   77.067076     -1173.5429      0             -1169.9168     -89135.935    
       195   76.481552     -1173.5153      0             -1169.9168     -89427.119    
       196   75.874128     -1173.4868      0             -1169.9168     -89713.617    
       197   75.244702     -1173.4571      0             -1169.9168     -89995.424    
       198   74.593221     -1173.4265      0             -1169.9168     -90272.535    
       199   73.919685     -1173.3948      0             -1169.9168     -90544.958    
       200   73.224143     -1173.3621      0             -1169.9168     -90812.694    
       201   72.506703     -1173.3283      0             -1169.9168     -91075.757    
       202   71.767528     -1173.2935      0             -1169.9168     -91334.161    
       203   71.006838     -1173.2578      0             -1169.9168     -91587.922    
       204   70.224915     -1173.221       0             -1169.9168     -91837.059    
       205   69.422102     -1173.1832      0             -1169.9168     -92081.603    
       206   68.598802     -1173.1445      0             -1169.9168     -92321.588    
       207   67.755488     -1173.1048      0             -1169.9168     -92557.042    
       208   66.892695     -1173.0642      0             -1169.9168     -92788.002    
       209   66.011027     -1173.0227      0             -1169.9168     -93014.512    
       210   65.111154     -1172.9804      0             -1169.9168     -93236.616    
       211   64.193818     -1172.9372      0             -1169.9168     -93454.361    
       212   63.25983      -1172.8932      0             -1169.9168     -93667.798    
       213   62.310071     -1172.8486      0             -1169.9168     -93876.981    
       214   61.345493     -1172.8032      0             -1169.9168     -94081.96     
       215   60.367119     -1172.7571      0             -1169.9168     -94282.801    
       216   59.376042     -1172.7105      0             -1169.9168     -94479.564    
       217   58.373423     -1172.6633      0             -1169.9168     -94672.308    
       218   57.360491     -1172.6157      0             -1169.9168     -94861.097    
       219   56.338544     -1172.5676      0             -1169.9168     -95045.993    
       220   55.308941     -1172.5191      0             -1169.9168     -95227.066    
       221   54.273101     -1172.4704      0             -1169.9168     -95404.387    
       222   53.232503     -1172.4214      0             -1169.9168     -95578.019    
       223   52.188677     -1172.3723      0             -1169.9168     -95748.035    
